股票代號,股票名稱,收盤價,月平均價
"03060P","台驊控國票25售01","0.83","0.98"
"03062P","聚陽元富23售02","1.22","1.33"
"03063P","聯電元富23售04","1.97","1.99"
"03064P","金寶元富23售03","","1.17"
"03066P","創意元富23售02","1.94","2.21"
"03067P","世芯元富23售06","1.61","1.78"
"03068P","臺股指富邦26售02","1.41","1.41"
"03069P","台積電中信27售01","2.55","2.46"
"03070P","聯電群益23售10","","2.46"
"03071F","恒指麥證1C購01","","0.01"
"03071P","偉詮電群益23售01","","2.02"
"03072P","陽明群益23售12","2.66","2.79"
"03073P","嘉晶群益23售02","1.90","2.08"
"03074F","恒指麥證26購01","0.54","0.54"
"03074P","電子類群益24售02","3.09","3.09"
"03075P","金融類群益24售01","2.81","2.84"
"03076P","金融類群益24售02","1.19","1.20"
"03077P","南電統一23售09","1.09","1.11"
"03078P","台積電凱基23售27","","12.20"
"03079P","台積電凱基23售28","","5.11"
"03080P","萬海凱基24售02","1.76","1.84"
"03081P","揚明光凱基23售05","1.94","2.02"
"03083P","新唐凱基23售08","1.77","1.77"
"03084P","瑞儀凱基23售01","0.70","0.69"
"03085P","鴻海元大23售18","0.83","0.82"
"03086P","台積電元大23售67","","7.68"
"03087P","微星元大23售04","1.41","1.42"
"03088P","國泰金元大29售01","0.87","0.93"
"03089P","晶豪科元大23售08","1.53","1.68"
"03091P","臺股指元大24售35","2.40","2.44"
"03092P","臺股指元大24售36","2.50","2.46"
"03093P","臺股指元大24售37","3.97","3.89"
"03094P","臺股指元大25售48","","1.97"
"03095P","臺股指元大25售49","1.96","1.97"
"03096P","臺股指元大25售50","","3.13"
"03097P","三福化國票23售02","1.66","1.66"
"03098P","鴻海群益23售04","1.21","1.16"
"03099P","台積電群益23售20","8.00","7.59"
"03101P","愛普群益23售04","0.93","0.96"
"03102P","惠特群益23售01","1.19","1.24"
"03104P","臺股指群益29售04","3.26","3.28"
"03107P","大成鋼元大23售07","","1.22"
"03109P","聯電元大23售53","3.27","3.21"
"03110P","華通元大23售11","1.15","1.21"
"03111P","台積電元大23售68","","5.40"
"03112P","奇鋐元大23售08","","1.05"
"03114P","富邦金元大24售05","0.73","0.73"
"03115P","景碩元大24售01","","1.05"
"03116P","臺股指國泰23售03","2.10","2.11"
"03118P","臺股指國泰25售04","1.49","1.48"
"03119P","東陽國票23售02","2.33","2.36"
"03121P","京元電國票23售01","","1.50"
"03123P","台灣50元富23售03","2.97","2.82"
"03124P","創意元富23售04","2.55","2.72"
"03125P","臺股指元富23售07","","2.40"
"03126P","創意元大26售02","1.04","1.13"
"03128P","晶心科元大24售03","1.02","1.14"
"03129P","電子類元大24售04","2.26","2.26"
"03130P","長榮群益23售09","2.86","3.15"
"03131P","長榮群益23售10","2.80","2.96"
"03132P","長榮群益23售11","3.34","3.34"
"03133P","電子類元大25售03","1.99","1.99"
"03134P","金融類元大24售04","","2.02"
"03135P","金融類元大25售03","2.12","2.16"
"03136P","台積電麥證28售04","4.04","3.92"
"03137P","創意麥證26售01","2.97","3.30"
"03138P","長榮永豐23售02","1.29","1.35"
"03139P","金像電國票23售07","1.30","1.31"
"03141P","宏達電國票23售09","","1.49"
"03142P","長榮國票24售01","2.35","2.54"
"03145P","長榮航國票24售04","","3.78"
"03146P","新唐國票24售03","","2.46"
"03147P","台積電國泰25售07","","8.15"
"03148P","儒鴻元大23售06","1.25","1.29"
"03149P","堤維西元大23售05","1.15","1.15"
"03150P","台肥元大23售01","1.47","1.47"
"03152P","中鴻元大23售04","2.39","2.40"
"03153P","怡利電元大23售10","1.84","1.98"
"03154P","長榮元大23售30","2.39","2.50"
"03155P","長榮元大25售12","2.84","2.94"
"03156P","台驊控元大26售01","1.28","1.48"
"03157P","兆豐金元大23售02","","2.08"
"03158P","世芯元大23售11","2.23","2.37"
"03159P","正文元大26售01","","1.39"
"03161P","聚陽凱基23售04","0.98","1.10"
"03162P","華新凱基23售10","1.35","1.31"
"03163P","華通凱基24售03","","0.73"
"03164P","微星凱基23售05","1.16","1.20"
"03165P","可成凱基23售04","","0.63"
"03167P","長榮凱基24售08","","4.13"
"03168P","長榮凱基24售09","","3.44"
"03169P","陽明凱基23售07","2.23","2.29"
"03170P","嘉澤凱基23售04","0.88","0.90"
"03171P","臺股指凱基26售19","4.14","4.17"
"03173P","臺股指凱基26售21","4.78","4.78"
"03174P","長榮統一24售07","1.36","1.45"
"03175P","長榮統一24售08","1.36","1.42"
"03176P","長榮元富23售12","1.49","1.59"
"03182P","長榮元富26售03","2.71","2.82"
"03183P","華擎元富23售03","1.31","1.33"
"03184P","台積電群益23售21","","9.93"
"03185P","創意群益23售09","1.60","1.87"
"03186P","世芯群益23售06","2.41","2.69"
"03187P","晶碩群益25售01","2.58","2.60"
"03188P","香港2X國票25售01","2.25","2.73"
"03191P","長榮航國票24售05","3.07","3.33"
"03192P","健和興國票23售04","","1.99"
"03194P","金像電元富23售03","1.04","1.05"
"03197P","長榮統一23售24","1.32","1.45"
"03198P","台灣50凱基23售18","4.43","4.24"
"03200P","長榮凱基25售06","2.81","2.98"
"03201P","欣興凱基23售14","0.83","0.88"
"03202P","聯電元大23售54","2.37","2.36"
"03206P","聯發科元大23售37","1.38","1.37"
"03207P","長榮元大23售32","","3.52"
"03210P","長榮元大23售33","2.86","2.99"
"03211P","南電元大23售29","1.52","1.58"
"03212P","長榮第一29售03","1.90","1.93"
"03213P","華邦電富邦24售01","0.60","0.60"
"03214P","長榮富邦23售05","0.81","0.85"
"03217P","宏達電群益25售02","4.00","4.00"
"03218P","陽明群益25售01","3.58","3.88"
"03220P","台積電富邦25售12","0.82","0.78"
"03221P","友達富邦26售02","0.56","0.57"
"03223P","微星國票24售03","","0.93"
"03225P","聯發科國票24售02","1.35","1.35"
